deck1,deck2,wins,losses,ties,total,win_rate
charizard-dusknoir,charizard-dusknoir,20,20,1,41,49.6
charizard-dusknoir,charizard-dusknoir,20,20,1,41,49.6
charizard-dusknoir,charizard-pidgeot,44,38,4,86,52.7
charizard-pidgeot,charizard-dusknoir,38,44,4,86,45.7
charizard-dusknoir,crustle-dri,13,20,4,37,38.7
crustle-dri,charizard-dusknoir,20,13,4,37,57.7
charizard-dusknoir,dragapult-charizard,32,39,6,77,44.2
dragapult-charizard,charizard-dusknoir,39,32,6,77,53.2
charizard-dusknoir,dragapult-dusknoir,41,75,4,120,35.3
dragapult-dusknoir,charizard-dusknoir,75,41,4,120,63.6
charizard-dusknoir,dragapult-ex,45,54,4,103,45.0
dragapult-ex,charizard-dusknoir,54,45,4,103,53.7
charizard-dusknoir,ethan-typhlosion,35,34,5,74,49.5
ethan-typhlosion,charizard-dusknoir,34,35,5,74,48.2
charizard-dusknoir,flareon-noctowl,27,22,0,49,55.1
flareon-noctowl,charizard-dusknoir,22,27,0,49,44.9
charizard-dusknoir,froslass-munkidori,10,9,0,19,52.6
froslass-munkidori,charizard-dusknoir,9,10,0,19,47.4
charizard-dusknoir,gardevoir-ex-sv,59,47,5,111,54.7
gardevoir-ex-sv,charizard-dusknoir,47,59,5,111,43.8
charizard-dusknoir,gholdengo-ex,91,88,12,191,49.7
gholdengo-ex,charizard-dusknoir,88,91,12,191,48.2
charizard-dusknoir,grimmsnarl-froslass,72,82,8,162,46.1
grimmsnarl-froslass,charizard-dusknoir,82,72,8,162,52.3
charizard-dusknoir,ho-oh-armarouge,14,16,1,31,46.2
ho-oh-armarouge,charizard-dusknoir,16,14,1,31,52.7
charizard-dusknoir,joltik-box,35,43,6,84,44.0
joltik-box,charizard-dusknoir,43,35,6,84,53.6
charizard-dusknoir,raging-bolt-ogerpon,39,54,9,102,41.2
raging-bolt-ogerpon,charizard-dusknoir,54,39,9,102,55.9
charizard-pidgeot,charizard-pidgeot,80,80,9,169,49.1
