deck1,deck2,wins,losses,ties,total,win_rate
charizard-dusknoir,charizard-dusknoir,0,0,0,0,
charizard-dusknoir,charizard-dusknoir,0,0,0,0,
charizard-dusknoir,charizard-pidgeot,4,3,0,7,57.1
charizard-pidgeot,charizard-dusknoir,3,4,0,7,42.9
charizard-dusknoir,crustle-dri,2,2,0,4,
crustle-dri,charizard-dusknoir,2,2,0,4,
charizard-dusknoir,dragapult-charizard,0,0,0,0,
dragapult-charizard,charizard-dusknoir,0,0,0,0,
charizard-dusknoir,dragapult-dusknoir,0,6,0,6,0.0
dragapult-dusknoir,charizard-dusknoir,6,0,0,6,100.0
charizard-dusknoir,dragapult-ex,2,3,0,5,40.0
dragapult-ex,charizard-dusknoir,3,2,0,5,60.0
charizard-dusknoir,ethan-typhlosion,2,1,0,3,
ethan-typhlosion,charizard-dusknoir,1,2,0,3,
charizard-dusknoir,flareon-noctowl,0,0,0,0,
flareon-noctowl,charizard-dusknoir,0,0,0,0,
charizard-dusknoir,froslass-munkidori,0,0,0,0,
froslass-munkidori,charizard-dusknoir,0,0,0,0,
charizard-dusknoir,gardevoir-ex-sv,5,0,0,5,100.0
gardevoir-ex-sv,charizard-dusknoir,0,5,0,5,0.0
charizard-dusknoir,gholdengo-ex,3,1,0,4,
gholdengo-ex,charizard-dusknoir,1,3,0,4,
charizard-dusknoir,grimmsnarl-froslass,1,2,0,3,
grimmsnarl-froslass,charizard-dusknoir,2,1,0,3,
charizard-dusknoir,ho-oh-armarouge,0,0,0,0,
ho-oh-armarouge,charizard-dusknoir,0,0,0,0,
charizard-dusknoir,joltik-box,2,0,0,2,
joltik-box,charizard-dusknoir,0,2,0,2,
charizard-dusknoir,raging-bolt-ogerpon,2,2,2,6,44.4
raging-bolt-ogerpon,charizard-dusknoir,2,2,2,6,44.4
charizard-pidgeot,charizard-pidgeot,5,5,0,10,50.0
charizard-pidgeot,charizard-pidgeot,5,5,0,10,50.0
charizard-pidgeot,crustle-dri,0,4,1,5,6.7
crustle-dri,charizard-pidgeot,4,0,1,5,86.7
charizard-pidgeot,dragapult-charizard,6,4,2,12,55.6
dragapult-charizard,charizard-pidgeot,4,6,2,12,38.9
charizard-pidgeot,dragapult-dusknoir,5,15,3,23,26.1
dragapult-dusknoir,charizard-pidgeot,15,5,3,23,69.6
charizard-pidgeot,dragapult-ex,10,4,0,14,71.4
dragapult-ex,charizard-pidgeot,4,10,0,14,28.6
charizard-pidgeot,ethan-typhlosion,8,6,2,16,54.2
ethan-typhlosion,charizard-pidgeot,6,8,2,16,41.7
charizard-pidgeot,flareon-noctowl,5,0,0,5,100.0
flareon-noctowl,charizard-pidgeot,0,5,0,5,0.0
charizard-pidgeot,froslass-munkidori,2,3,0,5,40.0
froslass-munkidori,charizard-pidgeot,3,2,0,5,60.0
charizard-pidgeot,gardevoir-ex-sv,10,7,0,17,58.8
gardevoir-ex-sv,charizard-pidgeot,7,10,0,17,41.2
charizard-pidgeot,gholdengo-ex,11,8,5,24,52.8
gholdengo-ex,charizard-pidgeot,8,11,5,24,40.3
charizard-pidgeot,grimmsnarl-froslass,13,9,0,22,59.1
grimmsnarl-froslass,charizard-pidgeot,9,13,0,22,40.9
charizard-pidgeot,ho-oh-armarouge,2,0,0,2,
ho-oh-armarouge,charizard-pidgeot,0,2,0,2,
charizard-pidgeot,joltik-box,5,5,1,11,48.5
joltik-box,charizard-pidgeot,5,5,1,11,48.5
charizard-pidgeot,raging-bolt-ogerpon,5,7,0,12,41.7
raging-bolt-ogerpon,charizard-pidgeot,7,5,0,12,58.3
crustle-dri,crustle-dri,1,1,0,2,
crustle-dri,crustle-dri,1,1,0,2,
crustle-dri,dragapult-charizard,1,0,1,2,
dragapult-charizard,crustle-dri,0,1,1,2,
crustle-dri,dragapult-dusknoir,7,11,2,20,38.3
dragapult-dusknoir,crustle-dri,11,7,2,20,58.3
crustle-dri,dragapult-ex,7,2,0,9,77.8
dragapult-ex,crustle-dri,2,7,0,9,22.2
crustle-dri,ethan-typhlosion,1,7,2,10,16.7
ethan-typhlosion,crustle-dri,7,1,2,10,76.7
crustle-dri,flareon-noctowl,7,3,1,11,66.7
flareon-noctowl,crustle-dri,3,7,1,11,30.3
crustle-dri,froslass-munkidori,0,2,0,2,
froslass-munkidori,crustle-dri,2,0,0,2,
crustle-dri,gardevoir-ex-sv,0,10,1,11,3.0
gardevoir-ex-sv,crustle-dri,10,0,1,11,93.9
crustle-dri,gholdengo-ex,10,1,1,12,86.1
gholdengo-ex,crustle-dri,1,10,1,12,11.1
crustle-dri,grimmsnarl-froslass,7,7,2,16,47.9
grimmsnarl-froslass,crustle-dri,7,7,2,16,47.9
crustle-dri,ho-oh-armarouge,0,0,0,0,
ho-oh-armarouge,crustle-dri,0,0,0,0,
crustle-dri,joltik-box,4,0,2,6,77.8
joltik-box,crustle-dri,0,4,2,6,11.1
crustle-dri,raging-bolt-ogerpon,3,6,1,10,33.3
raging-bolt-ogerpon,crustle-dri,6,3,1,10,63.3
dragapult-charizard,dragapult-charizard,3,3,0,6,50.0
dragapult-charizard,dragapult-charizard,3,3,0,6,50.0
dragapult-charizard,dragapult-dusknoir,12,10,1,23,53.6
dragapult-dusknoir,dragapult-charizard,10,12,1,23,44.9
dragapult-charizard,dragapult-ex,6,5,0,11,54.5
dragapult-ex,dragapult-charizard,5,6,0,11,45.5
dragapult-charizard,ethan-typhlosion,7,2,0,9,77.8
ethan-typhlosion,dragapult-charizard,2,7,0,9,22.2
dragapult-charizard,flareon-noctowl,4,2,0,6,66.7
flareon-noctowl,dragapult-charizard,2,4,0,6,33.3
dragapult-charizard,froslass-munkidori,1,2,2,5,33.3
froslass-munkidori,dragapult-charizard,2,1,2,5,53.3
dragapult-charizard,gardevoir-ex-sv,8,6,0,14,57.1
gardevoir-ex-sv,dragapult-charizard,6,8,0,14,42.9
dragapult-charizard,gholdengo-ex,9,14,3,26,38.5
gholdengo-ex,dragapult-charizard,14,9,3,26,57.7
dragapult-charizard,grimmsnarl-froslass,14,9,1,24,59.7
grimmsnarl-froslass,dragapult-charizard,9,14,1,24,38.9
dragapult-charizard,ho-oh-armarouge,1,1,0,2,
ho-oh-armarouge,dragapult-charizard,1,1,0,2,
dragapult-charizard,joltik-box,2,4,0,6,33.3
joltik-box,dragapult-charizard,4,2,0,6,66.7
dragapult-charizard,raging-bolt-ogerpon,7,2,0,9,77.8
raging-bolt-ogerpon,dragapult-charizard,2,7,0,9,22.2
dragapult-dusknoir,dragapult-dusknoir,33,33,3,69,49.3
dragapult-dusknoir,dragapult-dusknoir,33,33,3,69,49.3
dragapult-dusknoir,dragapult-ex,14,17,1,32,44.8
dragapult-ex,dragapult-dusknoir,17,14,1,32,54.2
dragapult-dusknoir,ethan-typhlosion,17,5,0,22,77.3
ethan-typhlosion,dragapult-dusknoir,5,17,0,22,22.7
dragapult-dusknoir,flareon-noctowl,6,5,1,12,52.8
flareon-noctowl,dragapult-dusknoir,5,6,1,12,44.4
dragapult-dusknoir,froslass-munkidori,3,0,0,3,
froslass-munkidori,dragapult-dusknoir,0,3,0,3,
dragapult-dusknoir,gardevoir-ex-sv,16,17,4,37,46.8
gardevoir-ex-sv,dragapult-dusknoir,17,16,4,37,49.5
dragapult-dusknoir,gholdengo-ex,21,28,4,53,42.1
gholdengo-ex,dragapult-dusknoir,28,21,4,53,55.3
dragapult-dusknoir,grimmsnarl-froslass,23,32,1,56,41.7
grimmsnarl-froslass,dragapult-dusknoir,32,23,1,56,57.7
dragapult-dusknoir,ho-oh-armarouge,1,3,0,4,
ho-oh-armarouge,dragapult-dusknoir,3,1,0,4,
dragapult-dusknoir,joltik-box,10,11,1,22,47.0
joltik-box,dragapult-dusknoir,11,10,1,22,51.5
dragapult-dusknoir,raging-bolt-ogerpon,22,10,2,34,66.7
raging-bolt-ogerpon,dragapult-dusknoir,10,22,2,34,31.4
dragapult-ex,dragapult-ex,4,4,0,8,50.0
dragapult-ex,dragapult-ex,4,4,0,8,50.0
dragapult-ex,ethan-typhlosion,8,7,2,17,51.0
ethan-typhlosion,dragapult-ex,7,8,2,17,45.1
dragapult-ex,flareon-noctowl,4,1,0,5,80.0
flareon-noctowl,dragapult-ex,1,4,0,5,20.0
dragapult-ex,froslass-munkidori,5,2,0,7,71.4
froslass-munkidori,dragapult-ex,2,5,0,7,28.6
dragapult-ex,gardevoir-ex-sv,2,17,1,20,11.7
gardevoir-ex-sv,dragapult-ex,17,2,1,20,86.7
dragapult-ex,gholdengo-ex,11,10,1,22,51.5
gholdengo-ex,dragapult-ex,10,11,1,22,47.0
dragapult-ex,grimmsnarl-froslass,9,18,0,27,33.3
grimmsnarl-froslass,dragapult-ex,18,9,0,27,66.7
dragapult-ex,ho-oh-armarouge,2,2,0,4,
ho-oh-armarouge,dragapult-ex,2,2,0,4,
dragapult-ex,joltik-box,12,6,1,19,64.9
joltik-box,dragapult-ex,6,12,1,19,33.3
dragapult-ex,raging-bolt-ogerpon,8,6,1,15,55.6
raging-bolt-ogerpon,dragapult-ex,6,8,1,15,42.2
ethan-typhlosion,ethan-typhlosion,6,6,1,13,48.7
ethan-typhlosion,ethan-typhlosion,6,6,1,13,48.7
ethan-typhlosion,flareon-noctowl,6,4,0,10,60.0
flareon-noctowl,ethan-typhlosion,4,6,0,10,40.0
ethan-typhlosion,froslass-munkidori,1,4,0,5,20.0
froslass-munkidori,ethan-typhlosion,4,1,0,5,80.0
ethan-typhlosion,gardevoir-ex-sv,8,9,3,20,45.0
gardevoir-ex-sv,ethan-typhlosion,9,8,3,20,50.0
ethan-typhlosion,gholdengo-ex,19,3,3,25,80.0
gholdengo-ex,ethan-typhlosion,3,19,3,25,16.0
ethan-typhlosion,grimmsnarl-froslass,10,28,0,38,26.3
grimmsnarl-froslass,ethan-typhlosion,28,10,0,38,73.7
ethan-typhlosion,ho-oh-armarouge,2,0,0,2,
ho-oh-armarouge,ethan-typhlosion,0,2,0,2,
ethan-typhlosion,joltik-box,6,1,1,8,79.2
joltik-box,ethan-typhlosion,1,6,1,8,16.7
ethan-typhlosion,raging-bolt-ogerpon,11,8,2,21,55.6
raging-bolt-ogerpon,ethan-typhlosion,8,11,2,21,41.3
flareon-noctowl,flareon-noctowl,1,1,0,2,
flareon-noctowl,flareon-noctowl,1,1,0,2,
flareon-noctowl,froslass-munkidori,1,0,0,1,
froslass-munkidori,flareon-noctowl,0,1,0,1,
flareon-noctowl,gardevoir-ex-sv,3,8,0,11,27.3
gardevoir-ex-sv,flareon-noctowl,8,3,0,11,72.7
flareon-noctowl,gholdengo-ex,8,2,0,10,80.0
gholdengo-ex,flareon-noctowl,2,8,0,10,20.0
flareon-noctowl,grimmsnarl-froslass,10,10,1,21,49.2
grimmsnarl-froslass,flareon-noctowl,10,10,1,21,49.2
flareon-noctowl,ho-oh-armarouge,0,4,0,4,
ho-oh-armarouge,flareon-noctowl,4,0,0,4,
flareon-noctowl,joltik-box,3,4,0,7,42.9
joltik-box,flareon-noctowl,4,3,0,7,57.1
flareon-noctowl,raging-bolt-ogerpon,1,2,1,4,
raging-bolt-ogerpon,flareon-noctowl,2,1,1,4,
froslass-munkidori,froslass-munkidori,0,0,0,0,
froslass-munkidori,froslass-munkidori,0,0,0,0,
froslass-munkidori,gardevoir-ex-sv,0,1,1,2,
gardevoir-ex-sv,froslass-munkidori,1,0,1,2,
froslass-munkidori,gholdengo-ex,2,0,0,2,
gholdengo-ex,froslass-munkidori,0,2,0,2,
froslass-munkidori,grimmsnarl-froslass,3,4,0,7,42.9
grimmsnarl-froslass,froslass-munkidori,4,3,0,7,57.1
froslass-munkidori,ho-oh-armarouge,1,0,0,1,
ho-oh-armarouge,froslass-munkidori,0,1,0,1,
froslass-munkidori,joltik-box,0,1,0,1,
joltik-box,froslass-munkidori,1,0,0,1,
froslass-munkidori,raging-bolt-ogerpon,0,1,0,1,
raging-bolt-ogerpon,froslass-munkidori,1,0,0,1,
gardevoir-ex-sv,gardevoir-ex-sv,7,7,0,14,50.0
gardevoir-ex-sv,gardevoir-ex-sv,7,7,0,14,50.0
gardevoir-ex-sv,gholdengo-ex,10,19,1,30,34.4
gholdengo-ex,gardevoir-ex-sv,19,10,1,30,64.4
gardevoir-ex-sv,grimmsnarl-froslass,15,23,4,42,38.9
grimmsnarl-froslass,gardevoir-ex-sv,23,15,4,42,57.9
gardevoir-ex-sv,ho-oh-armarouge,2,0,1,3,
ho-oh-armarouge,gardevoir-ex-sv,0,2,1,3,
gardevoir-ex-sv,joltik-box,12,10,1,23,53.6
joltik-box,gardevoir-ex-sv,10,12,1,23,44.9
gardevoir-ex-sv,raging-bolt-ogerpon,12,6,3,21,61.9
raging-bolt-ogerpon,gardevoir-ex-sv,6,12,3,21,33.3
gholdengo-ex,gholdengo-ex,36,36,0,72,50.0
gholdengo-ex,gholdengo-ex,36,36,0,72,50.0
gholdengo-ex,grimmsnarl-froslass,29,20,4,53,57.2
grimmsnarl-froslass,gholdengo-ex,20,29,4,53,40.3
gholdengo-ex,ho-oh-armarouge,7,1,1,9,81.5
ho-oh-armarouge,gholdengo-ex,1,7,1,9,14.8
gholdengo-ex,joltik-box,5,6,2,13,43.6
joltik-box,gholdengo-ex,6,5,2,13,51.3
gholdengo-ex,raging-bolt-ogerpon,10,18,0,28,35.7
raging-bolt-ogerpon,gholdengo-ex,18,10,0,28,64.3
grimmsnarl-froslass,grimmsnarl-froslass,26,26,3,55,49.1
grimmsnarl-froslass,grimmsnarl-froslass,26,26,3,55,49.1
grimmsnarl-froslass,ho-oh-armarouge,4,0,0,4,
ho-oh-armarouge,grimmsnarl-froslass,0,4,0,4,
grimmsnarl-froslass,joltik-box,2,17,5,24,15.3
joltik-box,grimmsnarl-froslass,17,2,5,24,77.8
grimmsnarl-froslass,raging-bolt-ogerpon,23,8,2,33,71.7
raging-bolt-ogerpon,grimmsnarl-froslass,8,23,2,33,26.3
ho-oh-armarouge,ho-oh-armarouge,0,0,0,0,
ho-oh-armarouge,ho-oh-armarouge,0,0,0,0,
ho-oh-armarouge,joltik-box,0,3,3,6,16.7
joltik-box,ho-oh-armarouge,3,0,3,6,66.7
ho-oh-armarouge,raging-bolt-ogerpon,3,1,0,4,
raging-bolt-ogerpon,ho-oh-armarouge,1,3,0,4,
joltik-box,joltik-box,3,3,0,6,50.0
joltik-box,joltik-box,3,3,0,6,50.0
joltik-box,raging-bolt-ogerpon,6,4,0,10,60.0
